Date,Price
11/01/2013,19.86
12/01/2013,20.04
01/01/2014,17.88
02/01/2014,18.79
03/01/2014,19.17
04/01/2014,21.07
05/01/2014,22.61
06/01/2014,23.23
07/01/2014,23.9
08/01/2014,25.62
09/01/2014,25.19
10/01/2014,27.0
11/01/2014,29.73
12/01/2014,27.59
01/01/2015,29.29
02/01/2015,32.12
03/01/2015,31.11
04/01/2015,31.29
05/01/2015,32.57
06/01/2015,31.36
07/01/2015,30.32
08/01/2015,28.19
09/01/2015,27.57
10/01/2015,29.88
11/01/2015,29.57
12/01/2015,26.32
01/01/2016,24.34
02/01/2016,24.17
03/01/2016,27.25
04/01/2016,23.43
05/01/2016,24.96
06/01/2016,23.9
07/01/2016,26.05
08/01/2016,26.52
09/01/2016,28.26
10/01/2016,28.39
11/01/2016,27.63
12/01/2016,28.95
01/01/2017,30.34
02/01/2017,34.25
03/01/2017,35.91
04/01/2017,35.91
05/01/2017,38.19
06/01/2017,36.01
07/01/2017,37.18
08/01/2017,41.0
09/01/2017,38.53
10/01/2017,42.26
11/01/2017,42.96
