,Date,Price
2,01/15/2017,924.0
3,01/22/2017,919.4
4,01/29/2017,1031.1
5,02/05/2017,1000.3
6,02/12/2017,1059.8
7,02/19/2017,1153.0
8,02/26/2017,1267.8
9,03/05/2017,1172.8
10,03/12/2017,971.0
11,03/19/2017,972.2
12,03/26/2017,1093.2
13,04/02/2017,1188.1
14,04/09/2017,1193.3
15,04/16/2017,1347.5
16,04/23/2017,1423.6
17,04/30/2017,1597.1
18,05/07/2017,1820.4
19,05/14/2017,2059.7
20,05/21/2017,1972.3
21,05/28/2017,2461.0
22,06/04/2017,2806.0
23,06/11/2017,2610.0
24,06/18/2017,2502.6
25,06/25/2017,2349.5
26,07/02/2017,2542.0
27,07/09/2017,1978.6
28,07/16/2017,2845.7
29,07/23/2017,2714.1
30,07/30/2017,3256.4
31,08/06/2017,3865.5
32,08/13/2017,4145.1
33,08/20/2017,4341.7
34,08/27/2017,4534.4
35,09/03/2017,4317.9
36,09/10/2017,3685.4
37,09/17/2017,3779.6
38,09/24/2017,4367.0
39,10/01/2017,4436.0
40,10/08/2017,5835.0
41,10/15/2017,6005.1
42,10/22/2017,5720.6
43,10/29/2017,7369.0
44,11/05/2017,6300.7
45,11/12/2017,7773.3
46,11/19/2017,8766.2
47,11/26/2017,10881.0
48,12/03/2017,14660.0
49,12/10/2017,19187.0
50,12/17/2017,14035.0
51,12/24/2017,12377.0
52,12/31/2017,17161.0
53,01/07/2018,14191.0
54,01/14/2018,12728.0
55,01/21/2018,11461.0
56,01/28/2018,9219.4
57,02/04/2018,8563.1
58,02/11/2018,11053.5
59,02/18/2018,9666.3
60,02/25/2018,11440.0
61,03/04/2018,8762.0
