Date,Price
03/17/2019,4063.2
03/24/2019,4165.1
03/31/2019,5090.5
04/07/2019,5101.8
04/14/2019,5340.0
04/21/2019,5401.8
04/28/2019,6098.3
05/05/2019,7136.4
05/12/2019,7260.0
05/19/2019,8054.9
05/26/2019,8547.0
06/02/2019,7924.6
06/09/2019,8856.0
06/16/2019,10747.9
06/23/2019,11921.0
06/30/2019,11283.0
07/07/2019,11312.0
07/14/2019,10740.0
07/21/2019,9465.7
07/28/2019,10822.0
08/04/2019,11314.0
08/11/2019,10228.0
08/18/2019,10152.0
08/25/2019,9623.9
09/01/2019,10488.0
09/08/2019,10379.0
09/15/2019,10013.0
09/22/2019,8238.6
09/29/2019,8162.5
10/06/2019,8318.3
10/13/2019,7992.9
10/20/2019,9270.9
10/27/2019,9332.1
11/03/2019,8828.0
11/10/2019,8523.5
11/17/2019,7352.6
11/24/2019,7599.9
12/01/2019,7543.2
12/08/2019,7100.8
12/15/2019,7166.4
12/22/2019,7334.4
12/29/2019,7369.8
01/05/2020,8013.8
01/12/2020,8891.5
01/19/2020,8353.7
01/26/2020,9410.6
02/02/2020,9877.2
02/09/2020,9901.0
02/16/2020,9662.4
02/23/2020,8557.3
03/01/2020,8919.0
03/08/2020,5218.2
03/15/2020,6201.8
03/22/2020,6249.3
03/29/2020,6881.6
04/05/2020,6884.5
04/12/2020,7269.1
04/19/2020,7538.5
04/26/2020,8982.3
05/03/2020,9537.9
