Date,Price
09/20/2020,9245.102067036
09/27/2020,8298.360193267872
10/04/2020,13380.784552396799
10/11/2020,9892.681344
10/18/2020,13642.793187738624
10/25/2020,17551.982579241594
11/01/2020,30385.33598294508
11/08/2020,13228.28705616192
11/15/2020,10005.4949191704
11/22/2020,25938.152633976002
11/29/2020,32613.76876218048
12/06/2020,18306.41027909456
12/13/2020,9888.705050340865
12/20/2020,15856.803282761279
12/27/2020,32238.0919846304
01/03/2021,23694.352089408
01/10/2021,31224.033534771
01/17/2021,46003.0945917816
01/24/2021,35831.17973147328
01/31/2021,48649.394906112
02/07/2021,70688.40541059375
02/14/2021,101469.68330767257
02/21/2021,53925.27372003888
02/28/2021,72176.84554343956
03/07/2021,46453.263202079994
03/14/2021,78148.7349375096
03/21/2021,100306.5091852824
03/28/2021,38060.590762537206
04/04/2021,69716.50462441267
04/11/2021,79698.3452928
04/18/2021,19743.80872581117
04/25/2021,77542.36260851807
05/02/2021,48485.213207456254
05/09/2021,25937.036546054398
05/16/2021,27240.0061663884
05/23/2021,42234.465605068806
05/30/2021,42091.11880228255
06/06/2021,29655.883119189602
06/13/2021,40560.27672393119
06/20/2021,36173.629470247506
06/27/2021,18524.021829936482
07/04/2021,43151.493364293594
07/11/2021,22869.891520938
07/18/2021,23817.9993048536
07/25/2021,53333.28846504921
08/01/2021,52208.9390592
08/08/2021,26095.27359245789
08/15/2021,90188.53947113472
08/22/2021,64565.63436615913
08/29/2021,36900.31490707968
09/05/2021,23058.591800428803
09/12/2021,48175.5437498286
09/19/2021,95215.744544508
09/26/2021,31332.016151982003
10/03/2021,23753.959138990078
10/10/2021,49915.28579578128
10/17/2021,33347.3555720592
10/24/2021,41779.7784779193
10/31/2021,59767.48316167199
11/07/2021,103890.26762285875
