Date,Price
10/15/2017,51.47
10/22/2017,53.9
10/29/2017,55.64
11/05/2017,56.74
11/12/2017,56.55
11/19/2017,58.95
11/26/2017,58.36
12/03/2017,57.36
12/10/2017,57.3
12/17/2017,58.47
12/24/2017,60.42
12/31/2017,61.44
01/07/2018,64.3
01/14/2018,63.37
01/21/2018,66.14
01/28/2018,65.45
02/04/2018,59.2
02/11/2018,61.68
02/18/2018,63.55
02/25/2018,61.25
03/04/2018,62.04
03/11/2018,62.34
03/18/2018,65.88
03/25/2018,64.94
04/01/2018,62.06
04/08/2018,67.39
04/15/2018,68.38
04/22/2018,68.1
04/29/2018,69.72
05/06/2018,70.7
05/13/2018,71.28
05/20/2018,67.88
05/27/2018,65.81
06/03/2018,65.74
06/10/2018,65.06
06/17/2018,68.58
06/24/2018,74.15
07/01/2018,73.8
07/08/2018,71.01
07/15/2018,70.46
07/22/2018,68.69
07/29/2018,68.49
08/05/2018,67.63
08/12/2018,65.91
08/19/2018,68.72
08/26/2018,69.8
09/02/2018,67.75
09/09/2018,68.99
09/16/2018,70.78
09/23/2018,73.25
09/30/2018,74.34
10/07/2018,71.34
10/14/2018,69.12
10/21/2018,67.59
10/28/2018,63.14
11/04/2018,60.19
11/11/2018,56.46
11/18/2018,50.42
11/25/2018,50.93
12/02/2018,52.61
