Date,Price
05/01/2012,27.785
06/01/2012,27.612
07/01/2012,27.941
08/01/2012,31.417
09/01/2012,34.577
10/01/2012,32.342
11/01/2012,33.254
12/01/2012,30.227
01/01/2013,31.38
02/01/2013,28.432
03/01/2013,28.353
04/01/2013,24.185
05/01/2013,22.265
06/01/2013,19.47
07/01/2013,19.643
08/01/2013,23.495
09/01/2013,21.708
10/01/2013,21.882
11/01/2013,20.016
12/01/2013,19.37
01/01/2014,19.138
02/01/2014,21.241
03/01/2014,19.765
04/01/2014,19.174
05/01/2014,18.7
06/01/2014,21.056
07/01/2014,20.432
08/01/2014,19.454
09/01/2014,17.057
10/01/2014,16.126
11/01/2014,15.547
12/01/2014,15.599
01/01/2015,17.228
02/01/2015,16.558
03/01/2015,16.619
04/01/2015,16.153
05/01/2015,16.721
06/01/2015,15.581
07/01/2015,14.765
08/01/2015,14.581
09/01/2015,14.518
10/01/2015,15.584
11/01/2015,14.072
12/01/2015,13.803
01/01/2016,14.255
02/01/2016,14.918
03/01/2016,15.483
04/01/2016,17.819
05/01/2016,16.018
06/01/2016,18.623
07/01/2016,20.393
08/01/2016,18.675
09/01/2016,19.214
10/01/2016,17.835
11/01/2016,16.454
12/01/2016,15.989
01/01/2017,17.577
02/01/2017,18.469
03/01/2017,18.294
04/01/2017,17.262
