Date,Price
11/01/2016,1172.7
12/01/2016,1151.46
01/01/2017,1210.51
02/01/2017,1248.52
03/01/2017,1248.63
04/01/2017,1267.65
05/01/2017,1268.09
06/01/2017,1241.2
07/01/2017,1269.05
08/01/2017,1321.6
09/01/2017,1279.1
10/01/2017,1271.2
11/01/2017,1274.36
12/01/2017,1302.45
01/01/2018,1344.7
02/01/2018,1317.66
03/01/2018,1324.0
04/01/2018,1314.95
05/01/2018,1297.92
06/01/2018,1252.25
07/01/2018,1223.41
08/01/2018,1200.71
09/01/2018,1191.69
10/01/2018,1214.14
11/01/2018,1221.88
12/01/2018,1282.73
01/01/2019,1320.56
02/01/2019,1312.66
03/01/2019,1291.9
04/01/2019,1283.35
05/01/2019,1305.25
06/01/2019,1409.1
07/01/2019,1413.55
08/01/2019,1519.85
09/01/2019,1472.0
10/01/2019,1513.16
11/01/2019,1463.9
12/01/2019,1517.01
01/01/2020,1589.81
02/01/2020,1584.74
03/01/2020,1571.05
04/01/2020,1680.09
05/01/2020,1726.3
06/01/2020,1780.67
07/01/2020,1974.69
08/01/2020,1969.75
09/01/2020,1885.44
10/01/2020,1877.95
11/01/2020,1777.02
12/01/2020,1896.49
01/01/2021,1846.09
02/01/2021,1733.49
03/01/2021,1707.01
04/01/2021,1768.59
05/01/2021,1906.36
06/01/2021,1769.8
07/01/2021,1813.58
08/01/2021,1813.43
09/01/2021,1756.66
10/01/2021,1782.81
