Date,Value
1991-07-15,367.8
1991-07-16,368.7
1991-07-17,368.9
1991-07-18,369.0
1991-07-19,370.0
1991-07-22,369.75
1991-07-23,367.4
1991-07-24,366.0
1991-07-25,364.9
1991-07-26,364.1
1991-07-29,365.1
1991-07-30,361.35
1991-07-31,362.85
1991-08-01,363.4
1991-08-02,357.8
1991-08-05,356.5
1991-08-06,357.0
1991-08-07,356.8
1991-08-08,357.6
1991-08-09,358.2
1991-08-12,358.2
1991-08-13,356.8
1991-08-14,355.85
1991-08-15,358.35
1991-08-16,357.75
1991-08-19,361.2
1991-08-20,353.8
1991-08-21,356.3
1991-08-22,356.2
1991-08-23,353.7
1991-08-26,353.7
1991-08-27,353.8
1991-08-28,354.5
1991-08-29,351.25
1991-08-30,347.4
1991-09-02,347.95
1991-09-03,347.35
1991-09-04,348.7
1991-09-05,347.4
1991-09-06,348.05
1991-09-09,350.55
1991-09-10,351.7
1991-09-11,345.25
1991-09-12,346.1
1991-09-13,344.25
1991-09-16,345.4
1991-09-17,346.15
1991-09-18,348.3
1991-09-19,348.6
1991-09-20,348.6
1991-09-23,349.25
1991-09-24,351.9
1991-09-25,352.75
1991-09-26,351.9
1991-09-27,348.45
1991-09-30,354.9
1991-10-01,353.95
1991-10-02,356.0
1991-10-03,356.8
1991-10-04,356.3
1991-10-07,359.7
1991-10-08,357.6
1991-10-09,357.65
1991-10-10,359.5
1991-10-11,357.75
1991-10-14,358.5
1991-10-15,357.55
1991-10-16,356.55
1991-10-17,358.3
1991-10-18,359.6
1991-10-21,363.8
1991-10-22,362.35
1991-10-23,362.2
1991-10-24,361.0
1991-10-25,362.0
1991-10-28,358.5
1991-10-29,357.4
1991-10-30,359.35
1991-10-31,357.45
1991-11-01,357.75
1991-11-04,356.35
1991-11-05,356.55
1991-11-06,354.5
1991-11-07,354.5
1991-11-08,352.9
1991-11-11,354.9
1991-11-12,354.75
1991-11-13,356.55
1991-11-14,355.85
1991-11-15,355.5
1991-11-18,360.75
1991-11-19,363.0
1991-11-20,362.6
1991-11-21,364.3
1991-11-22,367.95
1991-11-25,369.1
1991-11-26,366.25
1991-11-27,367.1
1991-11-28,366.05
1991-11-29,366.3
1991-12-02,368.35
1991-12-03,362.9
1991-12-04,365.25
1991-12-05,364.75
1991-12-06,367.75
1991-12-09,370.7
1991-12-10,368.05
1991-12-11,366.5
1991-12-12,359.5
1991-12-13,359.05
1991-12-16,359.65
1991-12-17,357.4
1991-12-18,357.9
1991-12-19,358.9
1991-12-20,358.3
1991-12-23,359.65
1991-12-24,359.65
1991-12-25,359.65
1991-12-26,359.65
1991-12-27,353.3
1991-12-30,353.15
1991-12-31,353.15
1992-01-01,353.15
1992-01-02,350.9
1992-01-03,353.0
1992-01-06,349.4
1992-01-07,349.7
1992-01-08,350.6
1992-01-09,351.55
1992-01-10,357.9
1992-01-13,353.9
1992-01-14,353.6
1992-01-15,355.55
1992-01-16,356.75
1992-01-17,355.9
1992-01-20,358.75
1992-01-21,357.8
1992-01-22,356.75
1992-01-23,355.2
1992-01-24,353.25
1992-01-27,356.1
1992-01-28,356.3
1992-01-29,354.85
1992-01-30,356.0
1992-01-31,354.1
1992-02-03,356.4
1992-02-04,356.0
1992-02-05,354.3
1992-02-06,355.95
1992-02-07,356.2
1992-02-10,354.65
1992-02-11,356.0
1992-02-12,357.2
1992-02-13,356.3
1992-02-14,354.1
1992-02-17,354.35
1992-02-18,352.8
1992-02-19,353.2
1992-02-20,353.4
1992-02-21,351.6
1992-02-24,349.8
1992-02-25,350.5
1992-02-26,348.65
1992-02-27,353.75
1992-02-28,353.1
1992-03-02,350.45
1992-03-03,351.35
1992-03-04,350.15
1992-03-05,349.9
1992-03-06,349.4
1992-03-09,348.8
1992-03-10,348.35
1992-03-11,349.0
1992-03-12,347.6
1992-03-13,347.25
1992-03-16,343.0
1992-03-17,339.0
1992-03-18,340.3
1992-03-19,337.8
1992-03-20,338.8
1992-03-23,338.7
1992-03-24,338.4
1992-03-25,341.25
1992-03-26,340.4
1992-03-27,340.5
1992-03-30,343.3
1992-03-31,341.7
1992-04-01,344.0
1992-04-02,340.5
1992-04-03,340.6
1992-04-06,339.25
1992-04-07,338.75
1992-04-08,337.5
1992-04-09,338.45
1992-04-10,341.9
1992-04-13,340.8
1992-04-14,339.0
1992-04-15,338.95
1992-04-16,336.7
1992-04-17,336.7
1992-04-20,336.7
1992-04-21,338.3
1992-04-22,338.1
1992-04-23,338.5
1992-04-24,336.55
1992-04-27,335.7
1992-04-28,336.75
1992-04-29,335.7
1992-04-30,336.35
1992-05-01,337.5
1992-05-04,337.5
1992-05-05,336.75
1992-05-06,336.7
1992-05-07,336.05
1992-05-08,336.9
1992-05-11,336.15
1992-05-12,335.25
1992-05-13,335.2
1992-05-14,336.9
1992-05-15,339.0
1992-05-18,338.9
1992-05-19,339.5
1992-05-20,336.95
1992-05-21,337.25
1992-05-22,337.7
1992-05-25,337.7
1992-05-26,337.85
1992-05-27,338.6
1992-05-28,336.9
1992-05-29,337.5
1992-06-01,336.85
1992-06-02,339.0
1992-06-03,339.9
1992-06-04,338.4
1992-06-05,338.8
1992-06-08,338.7
1992-06-09,337.8
1992-06-10,337.65
1992-06-11,338.25
1992-06-12,339.6
1992-06-15,342.7
1992-06-16,342.35
1992-06-17,342.0
1992-06-18,341.25
1992-06-19,343.55
1992-06-22,342.5
1992-06-23,343.8
1992-06-24,342.3
1992-06-25,343.4
1992-06-26,343.5
1992-06-29,342.0
1992-06-30,343.4
1992-07-01,343.55
1992-07-02,347.1
1992-07-03,345.7
1992-07-06,346.6
1992-07-07,345.6
1992-07-08,347.5
1992-07-09,347.25
1992-07-10,348.7
1992-07-13,348.6
1992-07-14,349.3
1992-07-15,350.9
1992-07-16,353.0
1992-07-17,356.7
1992-07-20,359.3
1992-07-21,358.1
1992-07-22,358.75
1992-07-23,359.5
1992-07-24,357.6
1992-07-27,358.4
1992-07-28,359.6
1992-07-29,356.2
1992-07-30,356.75
1992-07-31,357.85
1992-08-03,354.05
1992-08-04,352.7
1992-08-05,350.75
1992-08-06,348.6
1992-08-07,349.9
1992-08-10,350.35
1992-08-11,348.15
1992-08-12,346.8
1992-08-13,337.3
1992-08-14,335.7
1992-08-17,337.4
1992-08-18,336.1
1992-08-19,338.0
1992-08-20,337.25
1992-08-21,336.9
1992-08-24,342.3
