,Symbol,Date,Price
72,53,2013-11-01,47.35146401000529
21,48,2013-12-01,37.013405105920455
75,50,2014-01-01,44.50936691072408
24,44,2014-03-01,37.49350704357175
26,52,2014-04-01,35.90407032111315
67,57,2014-05-01,48.12493796301362
39,43,2014-07-01,30.908613006556124
4,31,2014-09-01,40.51922480814728
70,58,2014-09-01,57.49676767676768
36,39,2014-10-01,35.79738958825605
22,44,2014-12-01,38.00671580630855
29,45,2014-12-01,32.65896328290529
35,44,2015-02-01,30.88571082651317
41,38,2015-02-01,33.342142268749605
18,49,2015-04-01,43.18168861962178
11,46,2015-05-01,40.80042030250509
49,59,2015-05-01,49.45301075395176
17,51,2015-06-01,43.88636628846277
91,54,2015-06-01,38.299458366951214
40,39,2015-08-01,34.93232935108553
80,45,2015-09-01,36.90621582351194
52,61,2015-12-01,45.725983214868336
38,43,2016-01-01,34.05098804960015
32,35,2016-01-01,35.53262473161057
30,42,2016-01-01,37.939386587881415
98,57,2016-01-01,54.90238827357194
20,49,2016-02-01,36.35133217290445
46,62,2016-02-01,47.66798437828861
5,30,2016-02-01,38.571234476603216
28,52,2016-03-01,38.5832713957648
64,62,2016-03-01,59.951909671673405
90,57,2016-04-01,41.63063990962442
12,49,2016-04-01,41.98236923245021
56,61,2016-05-01,49.58745417904717
65,63,2016-05-01,45.86262100634916
6,49,2016-05-01,35.563414415480224
60,60,2016-06-01,53.210120619379296
10,45,2016-08-01,48.357373776240465
95,55,2016-08-01,38.715355923737576
84,50,2016-08-01,38.81555763559417
68,52,2016-09-01,44.28672566214171
76,48,2016-10-01,40.27329622802346
3,49,2016-12-01,57.49676767676768
2,24,2017-01-01,37.84304262323462
78,45,2017-06-01,26.193508589551143
73,49,2017-06-01,40.93964820665215
83,49,2017-06-01,37.538207053406325
59,59,2017-07-01,54.082898532248144
57,58,2017-07-01,57.49676767676768
23,42,2017-08-01,39.47012821628196
47,57,2017-08-01,45.41221188098605
88,54,2017-10-01,46.09222240369391
14,46,2017-10-01,42.821925958906746
81,46,2017-10-01,37.768758241825026
9,49,2017-11-01,57.49676767676768
79,43,2017-12-01,34.319751501738054
0,26,2017-12-01,57.49676767676768
87,51,2018-01-01,45.73412997925065
86,49,2018-01-01,45.21624081561795
15,47,2018-02-01,44.174697680324975
27,45,2018-03-01,39.530726631822844
54,55,2018-05-01,47.2212796874029
93,52,2018-05-01,35.00452593715541
97,54,2018-07-01,45.215138958256574
85,49,2018-08-01,35.835490918372145
66,56,2018-09-01,41.69559714325665
74,51,2018-09-01,39.94702554389242
71,52,2018-09-01,45.46488664579585
92,48,2018-10-01,40.144185717770426
19,45,2018-10-01,44.70909974703861
77,48,2018-10-01,35.033391109977586
89,53,2018-12-01,45.79373248525337
42,49,2018-12-01,35.32203535952951
34,36,2018-12-01,33.06510491484152
45,54,2019-03-01,49.60235916810528
69,54,2019-05-01,38.445519282472794
25,42,2019-07-01,38.40663269201998
51,55,2019-08-01,43.563323896827164
16,48,2019-08-01,42.116350849680934
96,49,2019-09-01,36.790788786237655
58,57,2019-10-01,50.51121511927816
44,50,2019-10-01,45.45280984039495
37,37,2020-01-01,38.052638578667455
50,54,2020-01-01,46.84385116200142
82,45,2020-02-01,41.05799317162212
94,50,2020-02-01,40.98033964943446
7,38,2020-02-01,34.855488511024134
61,58,2020-02-01,44.94650513639647
63,61,2020-06-01,50.173581219496654
53,53,2020-11-01,39.94139659836755
8,41,2020-11-01,36.37658265528772
13,45,2021-02-01,38.32513513351728
48,54,2021-05-01,44.890988477034696
62,56,2021-07-01,43.587185839503896
1,18,2021-08-01,42.24010663230447
55,55,2021-09-01,46.7599055855601
43,47,2021-10-01,35.737807025372994
33,39,2022-01-01,29.706444246162715
31,45,2022-01-01,32.27436022020507
