Date,Price
01/01/2017,908.8
01/08/2017,815.3
01/15/2017,924.0
01/22/2017,919.4
01/29/2017,1031.1
02/05/2017,1000.3
02/12/2017,1059.8
02/19/2017,1153.0
02/26/2017,1267.8
03/05/2017,1172.8
03/12/2017,971.0
03/19/2017,972.2
03/26/2017,1093.2
04/02/2017,1188.1
04/09/2017,1193.3
04/16/2017,1347.5
04/23/2017,1423.6
04/30/2017,1597.1
05/07/2017,1820.4
05/14/2017,2059.7
05/21/2017,1972.3
05/28/2017,2461.0
06/04/2017,2806.0
06/11/2017,2610.0
06/18/2017,2502.6
06/25/2017,2349.5
07/02/2017,2542.0
07/09/2017,1978.6
07/16/2017,2845.7
07/23/2017,2714.1
07/30/2017,3256.4
08/06/2017,3865.5
08/13/2017,4145.1
08/20/2017,4341.7
08/27/2017,4534.4
09/03/2017,4317.9
09/10/2017,3685.4
09/17/2017,3779.6
09/24/2017,4367.0
10/01/2017,4436.0
10/08/2017,5835.0
10/15/2017,6005.1
10/22/2017,5720.6
10/29/2017,7369.0
11/05/2017,6300.7
11/12/2017,7773.3
11/19/2017,8766.2
11/26/2017,10881.0
12/03/2017,14660.0
12/10/2017,19187.0
12/17/2017,14035.0
12/24/2017,12377.0
12/31/2017,17161.0
01/07/2018,14191.0
01/14/2018,12728.0
01/21/2018,11461.0
01/28/2018,9219.4
02/04/2018,8563.1
02/11/2018,11053.5
02/18/2018,9666.3
02/25/2018,11440.0
03/04/2018,8762.0
03/11/2018,7851.0
03/18/2018,8535.0
03/25/2018,6925.3
04/01/2018,6892.6
04/08/2018,8002.9
04/15/2018,8919.1
04/22/2018,9345.3
04/29/2018,9859.6
05/06/2018,8462.7
05/13/2018,8232.3
05/20/2018,7330.3
05/27/2018,7638.1
06/03/2018,7498.6
06/10/2018,6485.9
06/17/2018,6152.0
06/24/2018,6391.5
07/01/2018,6761.7
07/08/2018,6250.1
07/15/2018,7403.3
07/22/2018,8246.4
07/29/2018,7013.2
08/05/2018,6232.7
08/12/2018,6391.2
08/19/2018,6732.9
08/26/2018,7197.5
09/02/2018,6185.0
09/09/2018,6513.6
09/16/2018,6723.0
09/23/2018,6604.6
09/30/2018,6592.0
10/07/2018,6326.5
10/14/2018,6586.7
10/21/2018,6500.2
10/28/2018,6387.9
11/04/2018,6431.1
11/11/2018,5626.7
11/18/2018,3929.8
11/25/2018,4243.0
12/02/2018,3506.0
12/09/2018,3285.1
12/16/2018,4135.0
12/23/2018,3887.0
12/30/2018,3911.0
01/06/2019,3702.0
01/13/2019,3760.0
01/20/2019,3630.7
01/27/2019,3564.3
02/03/2019,3718.4
02/10/2019,3676.4
02/17/2019,4211.7
02/24/2019,3913.0
03/03/2019,4017.3
03/10/2019,4088.0
03/17/2019,4063.2
03/24/2019,4165.1
03/31/2019,5090.5
04/07/2019,5101.8
04/14/2019,5340.0
04/21/2019,5401.8
04/28/2019,6098.3
05/05/2019,7136.4
05/12/2019,7260.0
05/19/2019,8054.9
05/26/2019,8547.0
06/02/2019,7924.6
06/09/2019,8856.0
06/16/2019,10747.9
06/23/2019,11921.0
06/30/2019,11283.0
07/07/2019,11312.0
07/14/2019,10740.0
07/21/2019,9465.7
07/28/2019,10822.0
08/04/2019,11314.0
08/11/2019,10228.0
08/18/2019,10152.0
08/25/2019,9623.9
09/01/2019,10488.0
09/08/2019,10379.0
09/15/2019,10013.0
09/22/2019,8238.6
09/29/2019,8162.5
10/06/2019,8318.3
10/13/2019,7992.9
10/20/2019,9270.9
10/27/2019,9332.1
11/03/2019,8828.0
11/10/2019,8523.5
11/17/2019,7352.6
11/24/2019,7599.9
12/01/2019,7543.2
12/08/2019,7100.8
12/15/2019,7166.4
