time,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11
524,-2.0,1.53,10.15,0.0,0.0,0.0,-16.68,-23.56,-13.26,-13.64,92.97
525,-2.0,1.53,10.15,0.0,0.0,0.0,-16.68,-23.56,-13.26,-13.64,92.98
526,-1.98,1.52,10.11,0.0,0.0,0.0,-16.5,-22.67,-12.04,-13.64,92.98
527,-1.98,1.52,10.11,0.0,0.0,0.0,-16.5,-22.67,-12.04,-13.64,92.98
528,-2.0,1.51,10.11,0.0,0.0,0.0,-16.5,-22.67,-12.04,-13.64,92.98
529,-2.0,1.51,10.11,0.0,0.0,0.0,-16.5,-22.67,-12.04,-13.64,92.98
530,-2.0,1.52,10.13,0.0,0.0,0.0,-16.5,-22.67,-12.04,-13.64,92.98
531,-2.0,1.52,10.13,0.0,0.0,0.0,-16.5,-22.67,-12.04,-13.64,92.98
532,-1.99,1.51,10.11,0.0,0.01,0.0,-16.5,-22.67,-12.04,-13.64,92.97
533,-1.99,1.51,10.11,0.0,0.01,0.0,-16.5,-22.67,-12.04,-13.65,92.97
534,-2.0,1.51,10.11,0.0,0.0,0.0,-16.5,-22.67,-12.04,-13.65,92.97
535,-2.0,1.51,10.11,0.0,0.0,0.0,-16.5,-22.67,-12.04,-13.65,92.97
536,-2.0,1.53,10.14,0.0,0.0,0.0,-16.5,-22.67,-12.04,-13.65,92.97
537,-2.0,1.53,10.14,0.0,0.0,0.0,-16.5,-22.67,-12.04,-13.65,92.97
538,-1.99,1.52,10.13,0.0,0.0,0.0,-16.5,-23.74,-12.74,-13.65,92.97
539,-1.99,1.52,10.13,0.0,0.0,0.0,-16.5,-23.74,-12.74,-13.64,92.98
540,-2.0,1.52,10.15,0.0,0.0,0.0,-16.5,-23.74,-12.74,-13.64,92.98
541,-2.0,1.52,10.15,0.0,0.0,0.0,-16.5,-23.74,-12.74,-13.64,92.98
542,-2.0,1.53,10.1,0.0,0.0,0.0,-16.5,-23.74,-12.74,-13.64,92.98
543,-2.0,1.53,10.1,0.0,0.0,0.0,-16.5,-23.74,-12.74,-13.64,92.98
544,-2.02,1.54,10.14,0.0,0.0,0.0,-16.5,-23.74,-12.74,-13.64,92.98
545,-2.02,1.54,10.14,0.0,0.0,0.0,-16.5,-23.74,-12.74,-13.65,92.98
546,-2.0,1.51,10.13,0.0,0.0,0.0,-16.5,-23.74,-12.74,-13.64,92.98
547,-2.0,1.51,10.13,0.0,0.0,0.0,-16.5,-23.74,-12.74,-13.64,92.98
548,-2.0,1.53,10.18,0.0,0.0,0.0,-16.5,-23.74,-12.74,-13.64,92.98
549,-2.0,1.53,10.18,0.0,0.0,0.0,-16.5,-23.74,-12.74,-13.64,92.98
550,-2.02,1.53,10.13,0.0,0.01,0.0,-17.39,-23.92,-10.83,-13.65,92.98
551,-2.02,1.53,10.13,0.0,0.01,0.0,-17.39,-23.92,-10.83,-13.66,92.97
552,-2.0,1.53,10.13,0.0,0.01,0.0,-17.39,-23.92,-10.83,-13.66,92.97
553,-2.0,1.53,10.13,0.0,0.01,0.0,-17.39,-23.92,-10.83,-13.67,92.97
554,-2.02,1.53,10.15,0.0,0.0,0.0,-17.39,-23.92,-10.83,-13.67,92.97
555,-2.02,1.53,10.15,0.0,0.0,0.0,-17.39,-23.92,-10.83,-13.67,92.97
556,-2.0,1.51,10.13,0.0,0.0,0.0,-17.39,-23.92,-10.83,-13.67,92.97
557,-2.0,1.51,10.13,0.0,0.0,0.0,-17.39,-23.92,-10.83,-13.66,92.97
558,-2.0,1.51,10.14,0.0,0.0,0.0,-17.39,-23.92,-10.83,-13.66,92.97
559,-2.0,1.51,10.14,0.0,0.0,0.0,-17.39,-23.92,-10.83,-13.66,92.97
560,-2.0,1.54,10.17,0.0,0.0,0.0,-17.39,-23.92,-10.83,-13.66,92.97
561,-2.0,1.54,10.17,0.0,0.0,0.0,-17.39,-23.92,-10.83,-13.66,92.97
562,-1.98,1.52,10.13,0.0,0.01,0.0,-17.22,-22.31,-11.7,-13.67,92.97
