Date,Price
11/01/2013,56.86
12/01/2013,101.04
01/01/2014,73.88
02/01/2014,71.78999999999999
03/01/2014,101.17
04/01/2014,66.07
05/01/2014,59.61
06/01/2014,51.23
07/01/2014,34.9
08/01/2014,91.62
09/01/2014,42.19
10/01/2014,64.0
11/01/2014,99.73
12/01/2014,94.59
01/01/2015,42.29
02/01/2015,49.12
03/01/2015,103.11
04/01/2015,82.28999999999999
05/01/2015,58.57
06/01/2015,71.36
07/01/2015,121.32
08/01/2015,47.19
09/01/2015,85.57
10/01/2015,104.88
11/01/2015,68.57
12/01/2015,116.32
01/01/2016,33.34
02/01/2016,104.17
03/01/2016,75.25
04/01/2016,32.43
05/01/2016,57.96
06/01/2016,40.9
07/01/2016,27.05
08/01/2016,83.52
09/01/2016,121.26
10/01/2016,114.39
11/01/2016,40.63
12/01/2016,31.95
01/01/2017,76.34
02/01/2017,53.25
03/01/2017,94.91
04/01/2017,95.91
05/01/2017,65.19
06/01/2017,103.01
07/01/2017,81.18
08/01/2017,50.0
09/01/2017,70.53
10/01/2017,51.26
11/01/2017,72.96000000000001
12/01/2017,63.31
01/01/2018,99.86
02/01/2018,60.53
03/01/2018,139.95
04/01/2018,58.31
05/01/2018,100.72
06/01/2018,97.28
07/01/2018,142.57
08/01/2018,68.91
09/01/2018,69.44
10/01/2018,148.72
11/01/2018,127.65
12/01/2018,43.44
01/01/2019,140.61
02/01/2019,91.29
03/01/2019,59.49
04/01/2019,71.17
05/01/2019,136.77
06/01/2019,80.47999999999999
07/01/2019,143.26
08/01/2019,102.19
09/01/2019,155.99
10/01/2019,89.19
11/01/2019,73.81
12/01/2019,147.41
01/01/2020,168.38
02/01/2020,158.34
03/01/2020,100.57
04/01/2020,127.45
05/01/2020,144.48000000000002
06/01/2020,190.2
07/01/2020,190.26
08/01/2020,228.04
09/01/2020,213.81
10/01/2020,146.86
11/01/2020,147.05
12/01/2020,196.69
01/01/2021,191.96
02/01/2021,184.26
03/01/2021,209.15
04/01/2021,229.46
05/01/2021,156.61
06/01/2021,165.96
07/01/2021,171.86
08/01/2021,159.83
09/01/2021,183.5
10/01/2021,223.8
11/01/2021,167.3
12/01/2021,225.57
01/01/2022,188.78
